,name,artist,dancibility,energy,key,loudness,speechiness,instrumentalness,liveness,valence,tempo,prediction,rating,userid,target
0,abcdefu,GAYLE,0.695,0.54,4,-5.692,0.0493,0,0.367,0.415,121.932,Row(prediction=0),5.021052507,0,1
1,Champagne Poetry,Drake,0.423,0.667,6,-7.012,0.326,0,0.246,0.496,86.743,Row(prediction=2),9.979441337,0,1
2,Chamber Of Reflection,Mac DeMarco,0.538,0.557,11,-8.678,0.0914,0.914,0.102,0.506,131.03,Row(prediction=2),1.128520011,0,1
3,In My Room,Frank Ocean,0.861,0.647,7,-7.425,0.0675,0.661,0.114,0.67,158.037,Row(prediction=4),1.128520011,0,1
4,Adore You,Harry Styles,0.676,0.771,8,-3.675,0.0483,7E-06,0.102,0.569,99.048,Row(prediction=2),3.622152942,0,1
5,Heat Waves,Glass Animals,0.761,0.525,11,-6.9,0.0944,6.7E-06,0.0921,0.531,80.87,Row(prediction=2),9.979441337,0,1
6,SLOW DANCING IN THE DARK,Joji,0.515,0.479,3,-7.458,0.0261,0.00598,0.191,0.284,88.964,Row(prediction=7),5.021052507,0,1
7,White Christmas,Bing Crosby,0.317,0.158,9,-16.485,0.0381,0.353,0.338,0.247,130.503,Row(prediction=6),3.817198528,0,1
8,Bubbly (with Drake & Travis Scott),Young Thug,0.91,0.585,11,-7.572,0.257,0,0.127,0.599,129.011,Row(prediction=2),8.899590206,0,1
9,Flashing Lights,Kanye West,0.639,0.628,6,-7.578,0.0399,0,0.386,0.43,90.482,Row(prediction=0),9.979441337,0,1
10,Come & Go (with Marshmello),Juice WRLD,0.625,0.814,0,-5.181,0.0657,0,0.158,0.535,144.991,Row(prediction=5),5.103246191,0,1
11,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,0.728,0.783,11,-4.424,0.266,0,0.434,0.555,77.011,Row(prediction=2),3.622152942,0,1
12,Just Give Me a Reason (feat. Nate Ruess),P!nk,0.778,0.547,2,-7.273,0.0489,0.000302,0.132,0.441,95.002,Row(prediction=7),5.021052507,0,1
13,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,0.717,0.671,0,-5.077,0.0337,2.54E-06,0.0921,0.699,110.054,Row(prediction=5),5.103246191,0,1
14,By Your Side,Rod Wave,0.649,0.508,8,-10.232,0.0959,3.59E-05,0.0736,0.405,157.975,Row(prediction=4),8.899590206,0,1
15,AM Remix,Nio Garcia,0.743,0.655,6,-5.015,0.159,0,0.0764,0.785,172.031,Row(prediction=3),8.899590206,0,1
16,Good Days,SZA,0.436,0.655,1,-8.37,0.0583,8.1E-06,0.688,0.412,121.002,Row(prediction=1),3.307176898,0,1
17,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,0.677,0.696,0,-6.181,0.119,0,0.42,0.464,90.03,Row(prediction=1),3.307176898,0,1
18,A Holly Jolly Christmas - Single Version,Burl Ives,0.683,0.375,0,-13.056,0.0303,0,0.076,0.888,140.467,Row(prediction=5),3.817198528,0,1
19,Yeah! (feat. Lil Jon & Ludacris),Usher,0.894,0.791,2,-4.699,0.112,0,0.0388,0.583,105.018,Row(prediction=5),5.103246191,0,1
20,SLOW DANCING IN THE DARK,Joji,0.515,0.479,3,-7.458,0.0261,0.00598,0.191,0.284,88.964,Row(prediction=7),5.021052507,0,1
21,Do They Know It's Christmas? - 1984 Version,Band Aid,0.599,0.642,0,-6.936,0.0363,3.33E-05,0.0992,0.349,115.412,Row(prediction=1),5.021052507,0,1
22,happier,Olivia Rodrigo,0.395,0.443,6,-9.72,0.133,9.67E-06,0.0839,0.338,168.924,Row(prediction=4),8.899590206,0,1
23,Headshot (feat. Polo G & Fivio Foreign),Lil Tjay,0.808,0.639,1,-7.266,0.279,0,0.15,0.395,118,Row(prediction=1),5.021052507,0,1
24,Jungle,A Boogie Wit da Hoodie,0.538,0.52,7,-11.063,0.737,0,0.214,0.551,180.274,Row(prediction=6),8.899590206,0,1
25,WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),"Tyler, The Creator",0.493,0.653,0,-5.666,0.0466,0,0.511,0.852,142.347,Row(prediction=5),3.307176898,0,1
26,Ms. Jackson,Outkast,0.843,0.806,4,-5.946,0.269,0,0.0771,0.613,94.948,Row(prediction=3),5.103246191,0,1
27,I Hope,Gabby Barrett,0.466,0.536,6,-6.227,0.0429,0,0.114,0.377,75.998,Row(prediction=7),9.979441337,0,1
28,Meet Me At Our Spot,THE ANXIETY,0.773,0.47,2,-7.93,0.0299,0.000193,0.0851,0.399,94.995,Row(prediction=7),5.021052507,0,1
29,Circles,Post Malone,0.695,0.762,0,-3.497,0.0395,0.00244,0.0863,0.553,120.042,Row(prediction=5),5.103246191,0,1
30,Hex,80purppp,0.845,0.398,5,-15.781,0.268,0.00713,0.159,0.482,109.996,Row(prediction=6),3.817198528,0,1
31,Way 2 Sexy (with Future & Young Thug),Drake,0.803,0.597,11,-6.035,0.141,4.5E-06,0.323,0.331,136.008,Row(prediction=0),8.899590206,0,1
32,F.N,Lil Tjay,0.567,0.515,6,-10.265,0.247,0,0.078,0.321,120.1,Row(prediction=6),8.899590206,0,1
33,Life Goes On,Oliver Tree,0.7,0.49,0,-5.187,0.076,0,0.117,0.569,79.982,Row(prediction=5),5.103246191,0,1
34,everything i wanted,Billie Eilish,0.704,0.225,6,-14.454,0.0994,0.657,0.106,0.243,120.006,Row(prediction=6),3.817198528,0,1
35,Bad Habits,Ed Sheeran,0.807,0.893,11,-3.745,0.0347,2.79E-05,0.366,0.537,126.011,Row(prediction=2),3.622152942,0,1
36,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,0.451,0.24,1,-14.014,0.0351,2.45E-06,0.175,0.701,134.009,Row(prediction=5),3.817198528,0,1
37,Cada Quien,Grupo Firme,0.719,0.797,3,-3.89,0.0515,0,0.078,0.729,110.045,Row(prediction=3),5.103246191,0,1
38,Empty,Juice WRLD,0.745,0.561,0,-4.869,0.0807,0,0.133,0.449,77.557,Row(prediction=5),5.103246191,0,1
39,Come & Go (with Marshmello),Juice WRLD,0.625,0.814,0,-5.181,0.0657,0,0.158,0.535,144.991,Row(prediction=5),5.103246191,0,1
40,MONTERO (Call Me By Your Name),Lil Nas X,0.593,0.503,8,-6.725,0.22,0,0.405,0.71,178.781,Row(prediction=0),8.899590206,0,1
41,GHOST TOWN,Benson Boone,0.391,0.335,0,-10.064,0.0763,0,0.102,0.116,174.185,Row(prediction=1),5.021052507,0,1
42,Super Gremlin,Kodak Black,0.825,0.414,2,-6.634,0.144,0,0.357,0.106,72.993,Row(prediction=7),5.021052507,0,1
43,"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,0.792,0.511,2,-6.876,0.0409,9.04E-05,0.14,0.111,113.983,Row(prediction=7),5.021052507,0,1
44,2055,Sleepy Hallow,0.829,0.512,6,-5.865,0.187,0,0.12,0.638,80.511,Row(prediction=2),9.979441337,0,1
45,Can I Call You Tonight?,Dayglow,0.641,0.842,9,-7.27,0.0292,0.91,0.419,0.5,129.98,Row(prediction=0),1.128520011,0,1
46,Oh My God,Adele,0.534,0.725,1,-3.906,0.046,0,0.0264,0.55,88.098,Row(prediction=5),5.103246191,0,1
47,State Of Grace (Taylor's Version),Taylor Swift,0.594,0.713,9,-5.314,0.0503,0,0.114,0.328,129.958,Row(prediction=4),8.899590206,0,1
48,I AM WOMAN,Emmy Meli,0.646,0.471,10,-9.247,0.157,0,0.125,0.455,170.084,Row(prediction=4),8.899590206,0,1
49,Everybody Wants To Rule The World,Tears For Fears,0.645,0.795,7,-12.095,0.0527,0.00389,0.104,0.535,112.067,Row(prediction=2),9.979441337,0,1
50,Jingle Bell Rock,Bobby Helms,0.754,0.424,2,-8.463,0.0363,0,0.0652,0.806,119.705,Row(prediction=5),3.702913106,1,0
51,Flex (feat. Juice WRLD),Polo G,0.752,0.673,10,-5.792,0.153,0,0.133,0.35,164.009,Row(prediction=4),5.771164862,1,0
52,death bed (coffee for your head),Powfu,0.726,0.431,8,-8.765,0.135,0,0.696,0.348,144.026,Row(prediction=0),3.622152942,1,0
53,m y . l i f e (with 21 Savage & Morray),J. Cole,0.597,0.587,7,-7.026,0.137,0,0.214,0.0753,140.021,Row(prediction=6),5.771164862,1,0
