,Unnamed: 0,name,artist,dancibility,energy,key,loudness,speechiness,instrumentalness,liveness,valence,tempo,prediction
478,478,Stuck with U (with Justin Bieber),Ariana Grande,0.597,0.45,8,-6.658,0.0418,0.0,0.382,0.537,178.765,Row(prediction=0)
188,188,Can I Call You Tonight?,Dayglow,0.6409999999999999,0.8420000000000001,9,-7.27,0.0292,0.91,0.419,0.5,129.98,Row(prediction=0)
265,265,Feel Good Inc.,Gorillaz,0.818,0.705,6,-6.6789999999999985,0.177,0.00233,0.613,0.772,138.559,Row(prediction=0)
53,53,Way 2 Sexy (with Future & Young Thug),Drake,0.8029999999999999,0.597,11,-6.035,0.141,4.5e-06,0.32299999999999995,0.331,136.00799999999998,Row(prediction=0)
347,347,Have Mercy,Chlöe,0.903,0.535,9,-6.434,0.0742,0.0,0.345,0.508,130.02200000000002,Row(prediction=0)
181,181,Congratulations,Post Malone,0.63,0.804,6,-4.183,0.0363,0.0,0.253,0.4920000000000001,123.146,Row(prediction=0)
125,125,MONTERO (Call Me By Your Name),Lil Nas X,0.593,0.503,8,-6.725,0.22,0.0,0.405,0.71,178.78099999999995,Row(prediction=0)
175,175,Christmas Tree Farm,Taylor Swift,0.599,0.6809999999999999,7,-4.5,0.0331,0.0,0.324,0.453,133.995,Row(prediction=0)
413,413,I Saw Mommy Kissing Santa Claus,The Jackson 5,0.583,0.7120000000000001,3,-8.222000000000001,0.0538,1.02e-06,0.8170000000000001,0.614,128.89700000000002,Row(prediction=0)
444,444,Jealous,Eyedress,0.474,0.91,9,-10.431,0.0462,0.8590000000000001,0.476,0.745,93.01,Row(prediction=0)
170,170,MONTERO (Call Me By Your Name),Lil Nas X,0.593,0.503,8,-6.725,0.22,0.0,0.405,0.71,178.78099999999995,Row(prediction=0)
341,341,Happy Xmas (War Is Over) - Remastered 2010,John Lennon,0.321,0.64,2,-10.023,0.0324,0.0,0.718,0.414,146.172,Row(prediction=0)
